id,hex
503496 ,  \xc8\xae\x07\x00
503497 ,  \xc9\xae\x07\x00
503498 ,  \xca\xae\x07\x00
503499 ,  \xcb\xae\x07\x00
503500 ,  \xcc\xae\x07\x00
503501 ,  \xcd\xae\x07\x00
503502 ,  \xce\xae\x07\x00
503503 ,  \xcf\xae\x07\x00
503504 ,  \xd0\xae\x07\x00
503505 ,  \xd1\xae\x07\x00
503506 ,  \xd2\xae\x07\x00
503507 ,  \xd3\xae\x07\x00
503508 ,  \xd4\xae\x07\x00
503509 ,  \xd5\xae\x07\x00
503510 ,  \xd6\xae\x07\x00
503511 ,  \xd7\xae\x07\x00
503512 ,  \xd8\xae\x07\x00
503513 ,  \xd9\xae\x07\x00
503514 ,  \xda\xae\x07\x00
503515 ,  \xdb\xae\x07\x00
503516 ,  \xdc\xae\x07\x00
503517 ,  \xdd\xae\x07\x00
503518 ,  \xde\xae\x07\x00
503520 ,  \xe0\xae\x07\x00
503521 ,  \xe1\xae\x07\x00
503522 ,  \xe2\xae\x07\x00
503523 ,  \xe3\xae\x07\x00
503524 ,  \xe4\xae\x07\x00
503525 ,  \xe5\xae\x07\x00
503526 ,  \xe6\xae\x07\x00
503527 ,  \xe7\xae\x07\x00
503528 ,  \xe8\xae\x07\x00
503529 ,  \xe9\xae\x07\x00
503530 ,  \xea\xae\x07\x00
503531 ,  \xeb\xae\x07\x00
503532 ,  \xec\xae\x07\x00
503533 ,  \xed\xae\x07\x00
503534 ,  \xee\xae\x07\x00
503535 ,  \xef\xae\x07\x00
503536 ,  \xf0\xae\x07\x00
503537 ,  \xf1\xae\x07\x00
503538 ,  \xf2\xae\x07\x00
503539 ,  \xf3\xae\x07\x00
503540 ,  \xf4\xae\x07\x00
503541 ,  \xf5\xae\x07\x00
503561 ,  \x09\xaf\x07\x00
503562 ,  \x0a\xaf\x07\x00
503563 ,  \x0b\xaf\x07\x00
503564 ,  \x0c\xaf\x07\x00
503565 ,  \x0d\xaf\x07\x00
503566 ,  \x0e\xaf\x07\x00
503568 ,  \x10\xaf\x07\x00
503569 ,  \x11\xaf\x07\x00
503570 ,  \x12\xaf\x07\x00
503571 ,  \x13\xaf\x07\x00
503572 ,  \x14\xaf\x07\x00
503573 ,  \x15\xaf\x07\x00
503574 ,  \x16\xaf\x07\x00
503575 ,  \x17\xaf\x07\x00
503576 ,  \x18\xaf\x07\x00
503577 ,  \x19\xaf\x07\x00
503579 ,  \x1b\xaf\x07\x00
503581 ,  \x1d\xaf\x07\x00
503582 ,  \x1e\xaf\x07\x00
503583 ,  \x1f\xaf\x07\x00
503584 ,  \x20\xaf\x07\x00
503639 ,  \x57\xaf\x07\x00
503640 ,  \x58\xaf\x07\x00
503641 ,  \x59\xaf\x07\x00
503642 ,  \x5a\xaf\x07\x00
503643 ,  \x5b\xaf\x07\x00
503644 ,  \x5c\xaf\x07\x00
503645 ,  \x5d\xaf\x07\x00
503646 ,  \x5e\xaf\x07\x00
503647 ,  \x5f\xaf\x07\x00
503648 ,  \x60\xaf\x07\x00
503649 ,  \x61\xaf\x07\x00
503650 ,  \x62\xaf\x07\x00
503651 ,  \x63\xaf\x07\x00
503652 ,  \x64\xaf\x07\x00
503653 ,  \x65\xaf\x07\x00
503654 ,  \x66\xaf\x07\x00
503655 ,  \x67\xaf\x07\x00
503656 ,  \x68\xaf\x07\x00
503657 ,  \x69\xaf\x07\x00
503658 ,  \x6a\xaf\x07\x00
503659 ,  \x6b\xaf\x07\x00
503660 ,  \x6c\xaf\x07\x00
503661 ,  \x6d\xaf\x07\x00
503662 ,  \x6e\xaf\x07\x00
503663 ,  \x6f\xaf\x07\x00
503664 ,  \x70\xaf\x07\x00
503665 ,  \x71\xaf\x07\x00
503666 ,  \x72\xaf\x07\x00
503667 ,  \x73\xaf\x07\x00
503668 ,  \x74\xaf\x07\x00
503669 ,  \x75\xaf\x07\x00
503670 ,  \x76\xaf\x07\x00
503671 ,  \x77\xaf\x07\x00
503672 ,  \x78\xaf\x07\x00
503673 ,  \x79\xaf\x07\x00
503674 ,  \x7a\xaf\x07\x00
503675 ,  \x7b\xaf\x07\x00
503676 ,  \x7c\xaf\x07\x00
503677 ,  \x7d\xaf\x07\x00
503678 ,  \x7e\xaf\x07\x00
503679 ,  \x7f\xaf\x07\x00
503680 ,  \x80\xaf\x07\x00
503681 ,  \x81\xaf\x07\x00
503682 ,  \x82\xaf\x07\x00
503685 ,  \x85\xaf\x07\x00
503834 ,  \x1a\xb0\x07\x00
503835 ,  \x1b\xb0\x07\x00
503836 ,  \x1c\xb0\x07\x00
503837 ,  \x1d\xb0\x07\x00
503839 ,  \x1f\xb0\x07\x00
503840 ,  \x20\xb0\x07\x00
503841 ,  \x21\xb0\x07\x00
503842 ,  \x22\xb0\x07\x00
503843 ,  \x23\xb0\x07\x00
503844 ,  \x24\xb0\x07\x00
503845 ,  \x25\xb0\x07\x00
503846 ,  \x26\xb0\x07\x00
503847 ,  \x27\xb0\x07\x00
503848 ,  \x28\xb0\x07\x00
503849 ,  \x29\xb0\x07\x00
503850 ,  \x2a\xb0\x07\x00
503851 ,  \x2b\xb0\x07\x00
503852 ,  \x2c\xb0\x07\x00
503853 ,  \x2d\xb0\x07\x00
503855 ,  \x2f\xb0\x07\x00
503856 ,  \x30\xb0\x07\x00
503857 ,  \x31\xb0\x07\x00
503858 ,  \x32\xb0\x07\x00
503859 ,  \x33\xb0\x07\x00
503860 ,  \x34\xb0\x07\x00
503861 ,  \x35\xb0\x07\x00
503862 ,  \x36\xb0\x07\x00
503863 ,  \x37\xb0\x07\x00
503864 ,  \x38\xb0\x07\x00
503865 ,  \x39\xb0\x07\x00
503866 ,  \x3a\xb0\x07\x00
503867 ,  \x3b\xb0\x07\x00
503868 ,  \x3c\xb0\x07\x00
503912 ,  \x68\xb0\x07\x00
503913 ,  \x69\xb0\x07\x00
503914 ,  \x6a\xb0\x07\x00
503915 ,  \x6b\xb0\x07\x00
503916 ,  \x6c\xb0\x07\x00
503917 ,  \x6d\xb0\x07\x00
503918 ,  \x6e\xb0\x07\x00
503919 ,  \x6f\xb0\x07\x00
503920 ,  \x70\xb0\x07\x00
503921 ,  \x71\xb0\x07\x00
503925 ,  \x75\xb0\x07\x00
503926 ,  \x76\xb0\x07\x00
503927 ,  \x77\xb0\x07\x00
503928 ,  \x78\xb0\x07\x00
503929 ,  \x79\xb0\x07\x00
503930 ,  \x7a\xb0\x07\x00
